Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
07_2024,DE,H_HSP_RATING,11,25,64
07_2024,DE,H_QUIET_HSP,14,34,52
07_2024,DE,H_RECMND,8,28,64
07_2024,FL,H_CLEAN_HSP,12,19,69
07_2024,FL,H_COMP_1,7,18,75
07_2024,FL,H_COMP_2,7,18,75
07_2024,FL,H_COMP_3,14,27,59
07_2024,FL,H_COMP_5,25,18,57
07_2024,FL,H_COMP_6,17,0,83
07_2024,FL,H_COMP_7,9,43,48
07_2024,FL,H_HSP_RATING,12,22,66
07_2024,FL,H_QUIET_HSP,13,30,57
07_2024,FL,H_RECMND,9,25,66
07_2024,GA,H_CLEAN_HSP,12,18,70
07_2024,GA,H_COMP_1,5,17,78
07_2024,GA,H_COMP_2,5,15,80
07_2024,GA,H_COMP_3,12,25,63
07_2024,GA,H_COMP_5,22,19,59
07_2024,GA,H_COMP_6,16,0,84
07_2024,GA,H_COMP_7,6,43,51
07_2024,GA,H_HSP_RATING,9,21,70
07_2024,GA,H_QUIET_HSP,8,26,66
07_2024,GA,H_RECMND,7,25,68
07_2024,HI,H_CLEAN_HSP,8,18,74
07_2024,HI,H_COMP_1,5,18,77
07_2024,HI,H_COMP_2,6,16,78
07_2024,HI,H_COMP_3,11,27,62
07_2024,HI,H_COMP_5,20,19,61
07_2024,HI,H_COMP_6,15,0,85
07_2024,HI,H_COMP_7,6,44,50
07_2024,HI,H_HSP_RATING,9,24,67
07_2024,HI,H_QUIET_HSP,12,31,57
07_2024,HI,H_RECMND,7,24,69
07_2024,IA,H_CLEAN_HSP,7,15,78
07_2024,IA,H_COMP_1,3,14,83
07_2024,IA,H_COMP_2,3,14,83
07_2024,IA,H_COMP_3,6,22,72
07_2024,IA,H_COMP_5,15,19,66
07_2024,IA,H_COMP_6,11,0,89
07_2024,IA,H_COMP_7,4,40,56
07_2024,IA,H_HSP_RATING,5,16,79
07_2024,IA,H_QUIET_HSP,6,26,68
07_2024,IA,H_RECMND,3,22,75
07_2024,ID,H_CLEAN_HSP,7,16,77
07_2024,ID,H_COMP_1,3,16,81
07_2024,ID,H_COMP_2,5,12,83
07_2024,ID,H_COMP_3,6,20,74
07_2024,ID,H_COMP_5,17,20,63
07_2024,ID,H_COMP_6,11,0,89
07_2024,ID,H_COMP_7,5,40,55
07_2024,ID,H_HSP_RATING,7,18,75
07_2024,ID,H_QUIET_HSP,7,28,65
07_2024,ID,H_RECMND,4,22,74
07_2024,IL,H_CLEAN_HSP,10,18,72
07_2024,IL,H_COMP_1,5,17,78
07_2024,IL,H_COMP_2,6,16,78
07_2024,IL,H_COMP_3,11,26,63
07_2024,IL,H_COMP_5,20,20,60
07_2024,IL,H_COMP_6,14,0,86
07_2024,IL,H_COMP_7,6,44,50
07_2024,IL,H_HSP_RATING,10,21,69
07_2024,IL,H_QUIET_HSP,10,29,61
07_2024,IL,H_RECMND,7,26,67
07_2024,IN,H_CLEAN_HSP,9,18,73
07_2024,IN,H_COMP_1,4,16,80
07_2024,IN,H_COMP_2,5,16,79
07_2024,IN,H_COMP_3,9,26,65
07_2024,IN,H_COMP_5,20,20,60
07_2024,IN,H_COMP_6,12,0,88
07_2024,IN,H_COMP_7,5,43,52
07_2024,IN,H_HSP_RATING,7,20,73
07_2024,IN,H_QUIET_HSP,8,31,61
07_2024,IN,H_RECMND,5,24,71
07_2024,KS,H_CLEAN_HSP,6,15,79
07_2024,KS,H_COMP_1,3,14,83
07_2024,KS,H_COMP_2,4,12,84
07_2024,KS,H_COMP_3,5,21,74
07_2024,KS,H_COMP_5,16,19,65
07_2024,KS,H_COMP_6,13,0,87
07_2024,KS,H_COMP_7,3,40,57
07_2024,KS,H_HSP_RATING,5,16,79
07_2024,KS,H_QUIET_HSP,5,25,70
07_2024,KS,H_RECMND,3,21,76
07_2024,KY,H_CLEAN_HSP,9,18,73
07_2024,KY,H_COMP_1,4,15,81
07_2024,KY,H_COMP_2,4,14,82
07_2024,KY,H_COMP_3,9,24,67
07_2024,KY,H_COMP_5,19,19,62
07_2024,KY,H_COMP_6,14,0,86
07_2024,KY,H_COMP_7,5,43,52
